Gx,Gy,Gz,Label
-118.9,8.49,-6.14,Kanan
-117.01,6.41,-9.98,Kanan
-120.15,8.4,-9.62,Kanan
-117.62,6.72,-10.32,Kanan
-116.49,9.77,-9.34,Kanan
-120.27,8.06,-8.4,Kanan
-118.41,6.87,-10.81,Kanan
-114.72,8.82,-7.15,Kanan
-117.22,8.79,-4.95,Kanan
-119.42,4.7,-13.34,Kanan
-115.66,10.9,-10.02,Kanan
-117.68,10.29,-0.12,Kanan
-118.78,5.71,-11.91,Kanan
-117.25,9.98,-8.61,Kanan
-116.73,8.64,-2.47,Kanan
-119.48,5.22,-11.57,Kanan
-117.83,12.31,-7.82,Kanan
-117.56,8.24,-3.48,Kanan
-119.69,7.02,-10.84,Kanan
-117.71,11.51,-7.73,Kanan
-116.95,11.3,-3.3,Kanan
-120.24,7.11,-10.6,Kanan
-117.68,12.43,-8.98,Kanan
-116.61,10.14,-1.92,Kanan
-120.79,7.6,-8.4,Kanan
-117.37,12.58,-9.34,Kanan
-117.34,10.5,-2.2,Kanan
-118.5,4.85,-4.92,Kanan
-118.38,13.31,-14.08,Kanan
-117.8,9.1,-2.2,Kanan
-118.72,6.11,-7.6,Kanan
-117.13,11.82,-12.21,Kanan
-118.35,8.49,-1.89,Kanan
-117.4,2.93,-7.11,Kanan
-117.74,9.56,-14.47,Kanan
-118.23,8.98,-4.06,Kanan
-120.58,7.21,-9.74,Kanan
-117.56,14.08,-9.62,Kanan
-118.41,10.05,1.34,Kanan
-119.36,8.46,-8.79,Kanan
-115.39,11.94,-8.67,Kanan
-119.76,10.05,1.28,Kanan
-121.44,10.72,-8.67,Kanan
-116.67,12.95,-7.54,Kanan
-117.25,8.55,-1.28,Kanan
-120.79,8.31,-9.71,Kanan
-116.7,13.98,-8.82,Kanan
-119.24,10.99,-3.76,Kanan
-121.19,6.96,-9.16,Kanan
-117.44,12.18,-9.74,Kanan
-116.61,7.79,-0.79,Kanan
-120.24,9.56,-6.38,Kanan
-117.53,10.81,-4.34,Kanan
-115.97,4.27,2.81,Kanan
-119.76,9.16,-1.86,Kanan
-116,8.18,-1.37,Kanan
-121.04,7.97,-5.77,Kanan
-118.72,7.85,-1.65,Kanan
-118.47,9.68,-0.64,Kanan
-121.07,9.95,-11.6,Kanan
-118.5,5.71,-2.72,Kanan
-115.21,4.95,-5.01,Kanan
-120.24,12.4,-12.27,Kanan
-118.35,7.39,-0.64,Kanan
-119.36,6.72,-6.11,Kanan
-116.12,13.01,-8.79,Kanan
-120.18,9.68,0.49,Kanan
-120.12,10.66,-7.94,Kanan
-116.82,12.49,-6.93,Kanan
-120.4,8.79,0.7,Kanan
-119.82,9.71,-7.6,Kanan
-115.6,12.55,-8.12,Kanan
-120.03,7.88,1.13,Kanan
-122.14,10.6,-5.47,Kanan
-117.92,12.46,-7.97,Kanan
-120.46,10.56,-3.42,Kanan
-120.64,9.89,-6.84,Kanan
-117.62,11.66,-4.31,Kanan
-117.31,6.78,3.79,Kanan
-118.35,7.33,-6.96,Kanan
-119.27,12.92,-2.41,Kanan
-114.69,1.68,1.8,Kanan
-117.07,7.45,-10.02,Kanan
-116.31,6.41,0.03,Kanan
-122.53,7.66,-0.52,Kanan
-119.73,7.3,-8.89,Kanan
-116.15,5.65,-5.71,Kanan
-122.9,5.53,-4.15,Kanan
-118.56,4.46,-8.18,Kanan
-115.15,5.4,-5.28,Kanan
-123.18,6.44,-10.29,Kanan
-118.26,3.88,-6.11,Kanan
-116.15,3.66,-11.45,Kanan
-118.47,9.25,-13.16,Kanan
-119.18,6.29,-4.49,Kanan
-119.21,8.73,-7.69,Kanan
-117.83,9.31,-9.62,Kanan
-120.03,8.89,-5.37,Kanan
-118.72,9.22,-10.02,Kanan
-118.69,10.96,-6.26,Kanan
-119.42,8.34,-5.65,Kanan
-119.73,5.71,-9.59,Kanan
-117.22,14.14,-2.9,Kanan
-119.02,7.91,0.58,Kanan
-117.62,5.5,-10.17,Kanan
-117.68,11.79,0.95,Kanan
-116.34,-0.06,3.57,Kanan
-119.63,6.69,-4.55,Kanan
-118.32,7.54,-0.43,Kanan
-116.21,0.43,4.09,Kanan
-118.63,6.66,-4.03,Kanan
-117.56,12.89,1.8,Kanan
-115.27,2.84,7.88,Kanan
-120.12,2.56,-11.51,Kanan
-116.98,7.36,-0.98,Kanan
-120.4,6.5,1.65,Kanan
-119.33,3.57,-1.04,Kanan
-116.52,9.07,1.34,Kanan
-124.09,9.47,-1.22,Kanan
-116.15,-1.1,-8.76,Kanan
-115.51,5.59,-1.71,Kanan
