Gx+D29A1:D482,Gy,Gz,Label,,Gx,Gy,Gz,,,Gx,Gy,Gz,,,Gx,Gy,Gz,,,Gx,Gy,Gz,,,Gx,Gy,Gz,
"-10,78","-10,11","130,50",atas,,,,,,,,,,,,,,,,,20.06,-136.15,-1.62,depan,,12.73,122.44,10.14,belakang
"-12,43","-9,01","131,15",atas,,,,,,,,,,,,,,,,,13.37,-125.1,-1.44,depan,,12.76,117.37,9.59,belakang
"-10,78","-10,72","129,34",atas,,,,,,,,,,,,,,,,,14.63,-124.85,8.95,depan,,11.51,126.17,9.47,belakang
"-11,76","-10,23","129,83",atas,,,,,,,,,,,,,,,,,18.44,-138.72,0.67,depan,,11.54,120.03,8.85,belakang
"-9,98","-9,04","129,34",atas,,,,,,,,,,,,,,,,,11.51,-129.04,-4.64,depan,,13.19,121.34,7.45,belakang
"-9,92","-9,92","128,76",atas,,,,,,,,,,,,,,,,,10.99,-121.62,11.05,depan,,11.85,125.01,9.4,belakang
"-11,08","-9,83","129,07",atas,,,,,,,,,,,,,,,,,13.4,-136.58,7.18,depan,,13.83,120.31,8.46,belakang
"-10,63","-9,74","128,46",atas,,,,,,,,,,,,,,,,,7.73,-127.42,0.55,depan,,13.74,119.54,8.12,belakang
"-10,26","-9,98","130,32",atas,,,,,,,,,,,,,,,,,7.94,-121.25,13.44,depan,,13.28,127.3,10.17,belakang
"-8,85","-8,61","127,24",atas,,,,,,,,,,,,,,,,,13.98,-141.19,3.39,depan,,12.31,122.41,9.07,belakang
"-10,11","-9,80","130,08",atas,,,,,,,,,,,,,,,,,8.85,-127.97,1.5,depan,,14.32,122.53,6.2,belakang
"-10,78","-9,65","129,19",atas,,,,,,,,,,,,,,,,,5.4,-117.1,15.33,depan,,10.47,124.03,8.34,belakang
"-10,72","-10,17","129,89",atas,,,,,,,,,,,,,,,,,9.83,-138.38,3.73,depan,,13.31,122.63,7.02,belakang
"-11,05","-8,82","127,94",atas,,,,,,,,,,,,,,,,,9.01,-128.61,2.93,depan,,14.23,119.27,4.15,belakang
"-11,42","-9,34","128,49",atas,,,,,,,,,,,,,,,,,9.28,-119.18,19.57,depan,,12.46,121.98,7.66,belakang
"-11,42","-7,63","128,70",atas,,,,,,,,,,,,,,,,,11.27,-134.44,5.62,depan,,14.5,120.92,7.11,belakang
"-10,93","-9,34","128,55",atas,,,,,,,,,,,,,,,,,9.04,-131.3,-0.82,depan,,15.11,118.56,8.43,belakang
"-17,77","-6,66","131,63",atas,,,,,,,,,,,,,,,,,7.33,-118.87,9.22,depan,,11.82,126.05,5.95,belakang
"-10,99","-9,56","129,53",atas,,,,,,,,,,,,,,,,,11.57,-128.67,-0.67,depan,,12.06,125.44,9.28,belakang
"-10,60","-9,16","130,20",atas,,,,,,,,,,,,,,,,,18.14,-138.44,-0.12,depan,,11.48,118.32,7.6,belakang
"-10,81","-8,61","132,09",atas,,,,,,,,,,,,,,,,,4.61,-121.77,6.23,depan,,10.9,126.5,7.3,belakang
"-9,31","-9,74","129,68",atas,,,,,,,,,,,,,,,,,10.29,-121.28,9.62,depan,,11.24,122.66,10.5,belakang
"-9,68","-10,44","129,47",atas,,,,,,,,,,,,,,,,,18.81,-139.66,6.5,depan,,13.44,118.23,6.93,belakang
"-10,87","-10,90","129,56",atas,,,,,,,,,,,,,,,,,7.6,-127.11,4.61,depan,,9.86,127.08,9.04,belakang
"-9,98","-10,26","128,76",atas,,,,,,,,,,,,,,,,,8.67,-118.23,18.9,depan,,12,124.49,11.97,belakang
"-9,89","-9,95","129,62",atas,,,,,,,,,,,,,,,,,14.08,-139.27,7.76,depan,,15.08,118.75,7.39,belakang
"0,95","-2,14","130,29",atas,,,,,,,,,,,,,,,,,10.29,-131.3,-3.57,depan,,11.21,123.73,6.75,belakang
"-24,21","-1,22","124,46",atas,,,,,,,,,,,,,,,,,9.22,-117.59,23.08,depan,,13.28,124.7,8.4,belakang
"-14,17","-10,84","128,64",atas,,,,,,,,,,,,,,,,,10.72,-135.48,8.03,depan,,11.82,123.02,9.74,belakang
"-22,38","-12,64","130,29",atas,,,,,,,,,,,,,,,,,12.55,-133.01,-2.53,depan,,12.7,121.5,8.34,belakang
"-10,63","-1,74","132,43",atas,,,,,,,,,,,,,,,,,9.95,-117.22,17.47,depan,,12.98,124.43,11.08,belakang
"-4,09","-13,86","130,96",atas,,,,,,,,,,,,,,,,,13.01,-132.12,6.08,depan,,11.66,124.34,10.11,belakang
3.79,-3.48,130.96,bawah,,,,,,,,,,,,,,,,,11.54,-132.55,-5.1,depan,,12.03,125.25,8.7,belakang
49.74,-22.84,-115.21,bawah,,,,,,,,,,,,,,,,,8.27,-119.36,10.17,depan,,12.4,125.22,10.53,belakang
40.4,-13.16,-126.41,bawah,,,,,,,,,,,,,,,,,13.31,-128,7.08,depan,,12.61,120.82,8.73,belakang
36.76,-22.66,-118.14,bawah,,,,,,,,,,,,,,,,,18.6,-137.62,0.98,depan,,11.24,121.68,6.5,belakang
46.44,-12.92,-114.17,bawah,,,,,,,,,,,,,,,,,6.29,-124.67,2.32,depan,,12.4,123.02,5.53,belakang
54.84,-21.25,-115.24,bawah,,,,,,,,,,,,,,,,,10.5,-124.15,12.7,depan,,11.6,122.75,7.76,belakang
48.09,-28.46,-111.08,bawah,,,,,,,,,,,,,,,,,18.78,-137.5,11.69,depan,,12.27,122.99,9.07,belakang
45.95,-25.92,-111.54,bawah,,,,,,,,,,,,,,,,,7.82,-127.05,5.07,depan,,12.09,123.05,8.55,belakang
43.79,-26.93,-115.51,bawah,,,,,,,,,,,,,,,,,9.4,-118.96,21.07,depan,,12.82,121.59,8.4,belakang
29.25,0.82,-120.61,bawah,,,,,,,,,,,,,,,,,12.92,-136.73,14.47,depan,,12.43,122.66,8.21,belakang
37.22,3.02,-128.43,bawah,,,,,,,,,,,,,,,,,11.33,-132.79,0.85,depan,,12.58,122.69,8.24,belakang
28.31,-8.85,-122.17,bawah,,,,,,,,,,,,,,,,,13.22,-118.75,23.05,depan,,13.16,122.9,9.92,belakang
36.67,-3.63,-121.65,bawah,,,,,,,,,,,,,,,,,11.63,-133.34,10.96,depan,,12.06,121.31,10.87,belakang
19.6,8.55,-127.45,bawah,,,,,,,,,,,,,,,,,13.07,-134.69,0.15,depan,,12.37,122.66,10.26,belakang
29.22,11.97,-120.18,bawah,,,,,,,,,,,,,,,,,8.98,-120.37,13.74,depan,,12.06,122.26,10.38,belakang
18.66,6.99,-121.47,bawah,,,,,,,,,,,,,,,,,10.6,-124.03,5.16,depan,,12.4,122.6,11.63,belakang
22.14,11.08,-121.92,bawah,,,,,,,,,,,,,,,,,16.21,-133.83,10.72,depan,,12.89,122.75,10.32,belakang
20.15,9.71,-121.4,bawah,,,,,,,,,,,,,,,,,6.47,-122.41,5.56,depan,,11.82,124.49,10.63,belakang
24.37,11.91,-121.47,bawah,,,,,,,,,,,,,,,,,11.18,-123.54,13.47,depan,,11.79,121.95,10.6,belakang
39.73,-14.11,-104.67,bawah,,,,,,,,,,,,,,,,,15.73,-137.16,13.59,depan,,12.82,123.45,9.47,belakang
33.59,-15.15,-119.66,bawah,,,,,,,,,,,,,,,,,10.75,-129.68,1.16,depan,,12.37,123.36,9.34,belakang
30.84,-2.96,-120.67,bawah,,,,,,,,,,,,,,,,,9.8,-117.53,24.58,depan,,12.85,122.53,10.08,belakang
47.21,-5.28,-120.27,bawah,,,,,,,,,,,,,,,,,10.05,-133.13,19.15,depan,,11.97,122.47,10.2,belakang
22.35,-7.51,-118.02,bawah,,,,,,,,,,,,,,,,,13.37,-132.18,4.64,depan,,11.82,122.02,10.08,belakang
26.29,3.18,-118.96,bawah,,,,,,,,,,,,,,,,,10.81,-118.05,20.31,depan,,12.85,122.81,9.95,belakang
25.44,-11.91,-119.05,bawah,,,,,,,,,,,,,,,,,13.07,-128.89,9.56,depan,,12.27,122.05,12.06,belakang
21.5,-14.44,-122.17,bawah,,,,,,,,,,,,,,,,,14.02,-132.7,5.16,depan,,12.82,123.51,11.39,belakang
